Segment,Segment Users,Total Additions,Total Subtractions,
64036,321,321,0,
66621,1274,1274,0,
67212,474,474,0,
67242,647,647,0,
56002,382,382,0,
50765,825,825,0,
67258,5214,5214,0,
67188,723,723,0,
63838,686,686,0,
63816,1378,1378,0,
67253,531,531,0,
67165,617,617,0,
57110,406,406,0,
63799,501,501,0,
50763,799,799,0,
67933,191,191,0,
63818,2611,2611,0,
67867,255,255,0,
32599,1303,1303,0,
63991,71,71,0,
63994,251,251,0,
63836,1047,1047,0,
63837,143,143,0,
63832,499,499,0,
63833,993,993,0,
63834,971,971,0,
60603,96,96,0,
43929,399,399,0,
63815,1330,1330,0,
59877,130,130,0,
59878,200,200,0,
67251,418,418,0,
51131,4340,4340,0,
51136,1576,1576,0,
63280,2403,2403,0,
43912,3038,3038,0,
63977,478,478,0,
59639,265,265,0,
67268,513,513,0,
44070,2002,2002,0,
48680,3144,3144,0,
46158,857,857,0,
46074,1020,1020,0,
43959,589,589,0,
44020,1172,1172,0,
50751,479,479,0,
46070,1115,1115,0,
63972,750,750,0,
63971,3641,3641,0,
43634,1432,1432,0,
43991,485,485,0,
43919,2173,2173,0,
51157,2172,2172,0,
64035,86,86,0,
59566,505,505,0,
46157,344,344,0,
32580,1228,1228,0,
32590,901,901,0,
64042,396,396,0,
64041,2610,2610,0,
67271,927,927,0,
32568,364,364,0,
67864,512,512,0,
67865,134,134,0,
67935,351,351,0,
44021,1335,1335,0,
59569,347,347,0,
44051,1333,1333,0,
63929,659,659,0,
51155,80,80,0,
50750,368,368,0,
63802,767,767,0,
63803,270,270,0,
61085,250,250,0,
61278,415,415,0,
55273,898,898,0,
57093,248,248,0,
43986,1082,1082,0,
50775,273,273,0,
32598,1403,1403,0,
67265,191,191,0,
43906,1204,1204,0,
64007,246,246,0,
64006,592,592,0,
64003,205,205,0,
64002,350,350,0,
64004,415,415,0,
64005,353,353,0,
66644,382,382,0,
67861,603,603,0,
67862,411,411,0,
57107,547,547,0,
59580,620,620,0,
59581,617,617,0,
59596,143,143,0,
67874,421,421,0,
67873,493,493,0,
55980,823,823,0,
43624,832,832,0,
59429,249,249,0,
59480,476,476,0,
66868,564,564,0,
44775,189,189,0,
43923,2274,2274,0,
43946,351,351,0,
67272,730,730,0,
65598,319,319,0,
59435,197,197,0,
63810,206,206,0,
56054,331,331,0,
67273,1060,1060,0,
67244,624,624,0,
44777,760,760,0,
44780,507,507,0,
44813,505,505,0,
56570,305,305,0,
51150,632,632,0,
43920,587,587,0,
44066,518,518,0,
67230,541,541,0,
50754,436,436,0,
43931,705,705,0,
63809,110,110,0,
63805,128,128,0,
59881,372,372,0,
44814,738,738,0,
63949,301,301,0,
63953,174,174,0,
63951,310,310,0,
63943,389,389,0,
63928,253,253,0,
63980,453,453,0,
64018,372,372,0,
64016,396,396,0,
59477,605,605,0,
59479,496,496,0,
51146,719,719,0,
55960,139,139,0,
44011,1523,1523,0,
44012,1522,1522,0,
44782,241,241,0,
51177,272,272,0,
44028,271,271,0,
51159,25,25,0,
50788,505,505,0,
51024,503,503,0,
67256,473,473,0,
59585,647,647,0,
43907,645,645,0,
63813,659,659,0,
67324,239,239,0,
67247,1102,1102,0,
67175,749,749,0,
66635,927,927,0,
59637,401,401,0,
61086,217,217,0,
63978,14,14,0,
60333,222,222,0,
44063,874,874,0,
66642,173,173,0,
67876,206,206,0,
67936,231,231,0,
44017,115,115,0,
66637,158,158,0,
50777,119,119,0,
66613,553,553,0,
50762,808,808,0,
59481,426,426,0,
44007,513,513,0,
44008,514,514,0,
63930,372,372,0,
63944,31,31,0,
55981,320,320,0,
56369,134,134,0,
67224,754,754,0,
55270,660,660,0,
64031,546,546,0,
64030,363,363,0,
43940,118,118,0,
44006,428,428,0,
56018,428,428,0,
32593,244,244,0,
63925,49,49,0,
63927,99,99,0,
63963,15,15,0,
63959,291,291,0,
63957,249,249,0,
63960,361,361,0,
44806,576,576,0,
44003,202,202,0,
67191,792,792,0,
51025,261,261,0,
43911,621,621,0,
43936,122,122,0,
63973,335,335,0,
63924,156,156,0,
51156,248,248,0,
43932,184,184,0,
63987,228,228,0,
56567,149,149,0,
59575,222,222,0,
69208,49,49,0,
64616,42,42,0,
64615,39,39,0,
60332,197,197,0,
56020,61,61,0,
59577,202,202,0,
51169,291,291,0,
43945,455,455,0,
55974,551,551,0,
64029,405,405,0,
64027,363,363,0,
63798,242,242,0,
44009,636,636,0,
51174,305,305,0,
44772,285,285,0,
64019,751,751,0,
44774,545,545,0,
59475,305,305,0,
63981,528,528,0,
43992,192,192,0,
32576,99,99,0,
46162,454,454,0,
63995,85,85,0,
66645,177,177,0,
66872,100,100,0,
66873,100,100,0,
63812,44,44,0,
64021,29,29,0,
64026,107,107,0,
55946,77,77,0,
56374,247,247,0,
50771,139,139,0,
63993,147,147,0,
63985,278,278,0,
63992,134,134,0,
63945,37,37,0,
64022,79,79,0,
63986,140,140,0,
59640,56,56,0,
63988,419,419,0,
63989,165,165,0,
63998,79,79,0,
63999,80,80,0,
64000,107,107,0,
50766,77,77,0,
63955,155,155,0,
46166,90,90,0,
56038,211,211,0,
56847,210,210,0,
43937,163,163,0,
59431,56,56,0,
44067,21,21,0,
66624,268,268,0,
51168,159,159,0,
46163,257,257,0,
51158,106,106,0,
51170,45,45,0,
64028,167,167,0,
43934,123,123,0,
63820,147,147,0,
63979,310,310,0,
63984,42,42,0,
63983,383,383,0,
60331,304,304,0,
43909,75,75,0,
46167,28,28,0,
64064,110,110,0,
64032,202,202,0,
43993,108,108,0,
59567,201,201,0,
63952,207,207,0,
67866,97,97,0,
51161,13,13,0,
56055,63,63,0,
56052,144,144,0,
63946,14,14,0,
59876,135,135,0,
43995,18,18,0,
63948,199,199,0,
44754,234,234,0,
50776,199,199,0,
59487,35,35,0,
63970,34,34,0,
51185,36,36,0,
56023,32,32,0,
56011,26,26,0,
46155,16,16,0,
69189,115,115,0,
50760,31,31,0,
55959,56,56,0,
69192,96,96,0,
63804,53,53,0,
63997,38,38,0,
43990,40,40,0,
66630,265,265,0,
63954,24,24,0,
63962,115,115,0,
64024,52,52,0,
64025,9,9,0,
59485,36,36,0,
57108,122,122,0,
56012,55,55,0,
44049,31,31,0,
50770,17,17,0,
51153,14,14,0,
51154,13,13,0,
63926,30,30,0,
63947,56,56,0,
63990,22,22,0,
64033,54,54,0,
32566,84,84,0,
64037,9,9,0,
53292,9,9,0,
43955,10,10,0,
63996,13,13,0,
52532,11,11,0,
65597,4,4,0,
32572,9,9,0,
64001,3,3,0,
